Value,Value Counts
"73,480,000",2
"392,616,000",2
"1,155,000",2
920,2
"365,000",2
164,2
"1,782,000",2
"2,679",2
"3,002,500",2
"210,210,000",2
"357,480",2
"97,666,000",2
"22,715",2
"900,000",2
"2,320,000",2
"1,194,700",2
22.1,2
"1,093,500",2
"80,700",2
"82,450,000",2
"3,648,000",2
"731,110",2
"78,366,000",2
937,2
"2,074",2
"7,464",2
"7,881",2
"2,193,000",2
"1,591",2
"1,768,000",2
1.55,2
"22,600",2
"8,756,000",2
"1,305,000",2
"1,628,000",2
40.9,2
"5,760,000",2
"98,900,000",2
"1,719,000",2
2.83,2
"2,426,400",2
"2,223",2
"8,600",2
"6,880,000",2
"2,102",2
"1,787,000",2
"7,750,000",2
"54,284,650",2
"1,982,000",2
"1,817,000",2
"936,000",2
"1,635,000",2
"5,220,000",2
"1,370,980",2
"9,278,629",2
"4,250,000",2
"7,020,000",2
4.6,2
79.1,2
"71,400,000",2
"11,820,000",2
"64,166,000",2
"72,000,000",2
"2,672,600",2
"59,400,000",2
"1,008,000",2
"216,000",2
"1,767,000",2
"60,557,000",2
"3,594",2
"91,232,300",2
"1,786,000",2
"1,478,000",2
"377,500",2
"2,754",2
"3,300",2
"46,795,000",2
"84,200",2
"101,500,000",2
213,2
"2,090",2
"770,000",2
"2,680,000",2
84.3,2
"1,352",2
"102,228,000",2
"108,500",2
"8,727",2
"2,269,000",2
839,2
"10,800",2
"60,900",2
2.94,2
"19,546",2
177,2
"12,348,000",2
"1,909,000",2
"167,090,000",2
"59,000",2
"17,402,000",2
"18,682,770",2
"101,851,770",2
141.5,2
"2,640,000",2
"14,200",2
"1,280,000",2
"565,000",2
"22,041,380",2
"4,402,000",2
27.1,2
"59,842,000",2
"3,087,000",2
481,2
750,2
"1,254,000",2
"11,908",2
"43,787,000",2
"7,000,000",2
"9,329",2
"207,563,000",2
"64,082",2
"2,805,000",2
"53,632",2
704,2
"40,465,000",2
"1,884",2
"331,000",2
"1,071,000",2
"1,328,308",2
"92,740,000",2
"652,000",2
"10,100",2
"4,399,000",2
"4,290,000",2
"336,200",2
"1,496,000",2
"632,100",2
"3,335,000",2
968,2
"29,873,260",2
"15,130,000",2
"6,102",2
"1,851,000",2
"3,316,500",2
"8,022,300",2
"2,167,000",2
"57,064,000",2
"4,334",2
"116,500",2
"969,000",2
"8,353",2
235,2
"885,130",2
"2,089,810",2
"2,922,000",2
"49,207,000",2
"3,619,000",2
"2,902,200",2
721,2
"4,648,000",2
"7,944,000",2
"155,034,000",2
"41,048",2
"17,528",2
518,2
"5,280,000",2
"924,000",2
364,2
357,2
"566,882",2
"3,764,000",2
"50,940,000",2
"1,360,000",2
46.7,2
"81,000,000",2
"5,956",2
"1,041,000",2
"2,020,000",2
"1,396,000",2
"2,017,000",2
"11,593,479",2
"827,000",2
"94,600",2
1.91,2
"33,617",2
2.06,2
"477,000",2
"9,340",2
"227,664,000",2
"1,660,000",2
17.7,2
"84,771,350",2
"633,777",2
"8,991",2
"352,000",2
464,2
"119,052",2
"745,098",2
"110,755,000",2
"180,576,000",2
"2,698,000",2
"221,384",2
"4,315",2
609,2
124.1,2
60.5,2
415,2
"1,852",2
"83,236,630",2
"269,578,000",2
"2,614",2
"26,067",2
"12,565,000",2
157,2
"662,000",2
"1,971,000",2
"14,405,000",2
"1,812,400",2
"858,000",2
"7,710",2
"1,860",2
"5,400,000",2
"59,487",2
"1,112,480",2
393,2
400,2
"5,190",2
"671,252",2
428,2
"9,300,000",2
"3,205,000",2
"27,000,000",2
"1,139",2
"2,350",2
145.5,2
"8,370,000",2
"2,247,370",2
"21,293",2
"10,151",2
"80,800",2
"9,226",2
44.5,2
"2,418,000",2
"966,000",2
"267,620",2
"48,180,000",2
"3,064,000",2
"99,895,000",2
"2,804,670",2
19.2,2
"1,211",2
"1,170,000",2
6.2,2
"1,660",2
"177,005",2
"1,015",2
"79,755,270",2
437,2
"67,999,200",2
"65,724,920",2
0.4,2
287,2
"423,200",2
"175,380,000",2
"7,262",2
241,2
"104,868,000",2
"266,490,000",2
"12,544,510",2
"21,500",2
"2,752,600",2
131,2
"1,363,000",2
"412,000",2
"93,800,000",2
"15,600",2
"1,930,000",2
"1,940",2
"2,040",2
"5,766,000",2
"243,000",2
"1,439",2
"2,130",2
141,2
"14,280",2
"2,106,000",2
"5,830",2
"111,728,000",2
"3,454",2
"197,192,000",2
234,2
"810,000",2
"3,233,500",2
"54,120",2
"1,913,000",2
"1,722,000",2
"26,884,000",2
"3,167,700",2
24.9,2
"3,705,000",2
630,2
"4,170,000",2
"325,000",2
"10,700",2
"1,242,000",2
"3,507,000",2
"91,143,890",2
"63,760,000",2
"14,232",2
"6,262",2
"490,846,000",2
"104,500",2
"34,000",2
49.2,2
"1,561,000",2
"235,000",2
"2,885,000",2
"3,325,000",2
"1,132,000",2
"84,308",2
"4,305,000",2
"2,197,000",2
"2,965,500",2
"1,929,000",2
"359,000",2
0.86,2
"1,705,000",2
"2,420,000",2
308,2
"1,858",2
"288,000",2
"37,000",2
950,2
446,2
"3,233,000",2
"4,330",2
