type,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
prcp,CA,2011,34.04,86.77,174.63,23.27,33.36,30.28,2.75,0.50,4.16,43.09,45.45,11.74
prcp,CA,2012,87.66,31.63,136.64,64.21,3.75,7.53,3.37,2.37,1.45,26.12,101.22,163.84
prcp,CA,2013,26.62,13.33,34.75,18.66,14.54,8.99,2.95,6.57,16.36,6.84,22.06,11.82
prcp,CA,2014,12.52,121.10,82.61,26.91,5.77,1.00,2.50,6.07,16.09,24.01,51.92,182.28
prcp,CA,2015,11.97,72.04,17.26,28.25,16.05,4.39,12.64,0.93,7.53,16.34,45.10,123.71
prcp,CA,2016,171.99,30.06,141.26,33.99,16.29,6.53,0.56,0.24,1.37,103.06,59.58,118.55
prcp,CA,2017,251.31,216.51,66.81,65.82,8.93,7.79,0.55,3.34,6.93,9.25,82.81,7.94
prcp,CA,2018,91.48,13.56,137.18,53.30,13.30,1.96,1.14,0.30,0.81,14.06,75.60,63.82
prcp,CA,2019,130.38,236.32,101.49,29.83,62.04,2.52,0.21,1.75,11.46,3.01,36.61,126.81
prcp,CA,2020,53.60,5.03,75.82,49.77,29.11,3.51,0.56,1.92,0.63,1.42,32.84,48.90
prcp,CA,2021,94.94,32.54,,,,,,,,,,
prcp,CO,1990,17.35,19.00,40.92,39.33,48.63,17.53,76.01,35.75,52.70,31.79,28.67,13.17
prcp,CO,1991,13.28,5.15,26.14,25.35,36.05,47.07,57.11,62.45,27.12,19.69,44.90,13.14
prcp,CO,1992,11.28,11.89,40.53,12.50,42.58,51.88,65.27,70.99,10.41,14.51,33.24,14.78
prcp,CO,1993,20.06,30.72,32.39,34.27,47.65,36.65,27.90,67.15,31.32,37.90,25.01,9.08
prcp,CO,1994,12.01,12.95,18.57,47.93,33.88,28.91,37.24,55.96,30.30,33.62,27.60,10.74
prcp,CO,1995,13.49,16.56,33.39,52.58,95.22,64.02,39.41,31.49,38.51,8.06,13.58,7.92
prcp,CO,1996,25.60,16.88,22.57,23.65,54.05,46.48,59.23,49.37,46.07,28.48,20.57,16.90
prcp,CO,1997,21.68,20.09,8.13,47.45,38.04,47.67,47.88,92.83,52.40,51.64,19.03,17.19
prcp,CO,1998,10.79,15.84,38.46,34.48,23.35,21.36,91.53,49.58,18.45,49.93,25.30,9.23
prcp,CO,1999,17.16,7.24,15.75,87.82,52.51,40.47,64.27,80.20,31.96,11.92,7.11,10.00
prcp,CO,2000,16.22,16.26,51.66,29.19,20.04,21.29,38.15,45.76,30.31,37.59,11.86,10.31
prcp,CO,2001,17.57,15.65,27.03,23.37,68.11,24.29,59.33,41.45,22.92,9.85,19.75,9.96
prcp,CO,2002,11.38,6.75,12.11,10.26,14.09,19.74,19.96,36.11,46.34,33.22,13.55,9.25
prcp,CO,2003,6.80,23.56,39.83,29.95,35.24,47.47,20.21,44.90,29.60,8.47,19.09,13.46
prcp,CO,2004,12.89,19.10,10.70,77.73,13.80,54.05,60.08,48.70,51.52,26.28,40.18,10.16
prcp,CO,2005,25.78,14.28,22.31,36.84,41.26,53.43,26.94,58.88,29.20,55.57,11.64,15.42
prcp,CO,2006,14.32,6.50,26.53,13.74,21.66,22.62,82.33,68.48,45.33,60.40,12.79,41.15
prcp,CO,2007,18.65,15.28,18.89,38.46,43.82,30.04,44.22,56.45,34.50,20.05,5.16,45.42
prcp,CO,2008,20.80,19.37,16.53,19.75,28.63,21.60,39.24,71.65,23.04,34.97,13.62,25.80
prcp,CO,2009,11.79,12.26,18.62,51.03,38.46,55.93,59.54,29.08,28.59,50.43,10.37,18.45
prcp,CO,2010,11.18,16.93,38.25,40.65,28.62,29.76,59.85,55.48,14.14,25.29,10.87,17.39
prcp,CO,2011,11.85,18.27,16.72,33.62,47.50,25.66,50.54,36.47,28.51,28.35,14.48,19.89
prcp,CO,2012,7.74,18.88,7.10,27.47,19.69,11.60,49.20,22.20,29.18,13.80,4.62,17.09
prcp,CO,2013,9.59,12.54,20.37,27.03,27.78,18.28,54.99,52.83,93.70,23.45,15.77,9.97
prcp,CO,2014,17.51,17.99,19.17,24.51,41.43,27.33,74.79,53.17,44.20,24.15,15.63,19.16
prcp,CO,2015,8.37,28.67,11.52,40.18,118.58,34.90,50.72,42.47,14.83,40.30,29.60,19.01
prcp,CO,2016,11.95,14.30,25.19,63.18,32.80,39.50,40.23,52.87,21.66,7.26,13.04,21.75
