Program,Year,Commodity,Data Item,Domain,Domain Category,Value
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),"1,463"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,037"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",2
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 TO 1,999 ACRES)",1
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),28
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),58
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),25
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (2,000 TO 2,999 ACRES)",1
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),29
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),11
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),36
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),10
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,199
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED, ENTIRE CROP - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,831"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED, ENTIRE CROP - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,60
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED, NONE OF CROP - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,116,842"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED, NONE OF CROP - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,"57,308"
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED, PART OF CROP - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,139
CENSUS,2002,HAY & HAYLAGE,"HAY & HAYLAGE, IRRIGATED, PART OF CROP, IRRIGATED PORTION - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,206"
CENSUS,2002,HAYLAGE,HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES), (D)
CENSUS,2002,HAYLAGE,HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"26,760"
CENSUS,2002,HAYLAGE,HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES),"4,098"
CENSUS,2002,HAYLAGE,HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"12,048"
CENSUS,2002,HAYLAGE,HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"8,240"
CENSUS,2002,HAYLAGE,HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"20,620"
CENSUS,2002,HAYLAGE,HAYLAGE - ACRES HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES), (D)
CENSUS,2002,HAYLAGE,HAYLAGE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"75,289"
CENSUS,2002,HAYLAGE,HAYLAGE - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),241
